Country;Age;Sex;Asymptomatic;Mild;Hospitalised;Severely hospitalised;Fatal
Germany;31;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;32;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;32;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;33;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;33;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;34;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;34;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;35;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;35;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;36;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;36;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;37;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;37;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;38;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;38;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;39;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;39;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;40;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;40;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;41;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;41;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;42;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;42;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;43;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;43;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;44;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;44;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;45;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;45;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;46;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;46;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;47;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;47;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;48;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;48;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;49;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;49;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;50;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;50;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;51;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
